Symbol,Name,Last,Change,%Chg,High,Low,Volume,Avg Vol,Time
AMLX,Amylyx Pharmaceuticals Inc,11.97,-13.03,-52.12%,25.68,10.49,5171979,779723,11:21 ET
CLVR,Clever Leaves Holdings Inc,2.57,-1.27,-33.07%,3.08,2.46,20937251,7917737,11:22 ET
LMDX,Lumiradx Limited,5.43,-2.33,-30.03%,8.02,4.61,307245,49721,11:20 ET
CAPR,Capricor Therap,4.02,-1.66,-29.23%,4.6599,4.04,622165,217620,11:17 ET
VIEW,View Inc,1.97,-0.76,-27.84%,2.7,2.01,1355087,3371479,11:21 ET
RETA,Reata Pharma,26.99,-9.34,-25.71%,36.87,26.9,1027405,557845,11:21 ET
VLTA,Volta Inc,3.42,-0.71,-17.19%,4.07,3.44,6525826,3840611,11:21 ET
SPRC,Scisparc Ltd,3.9101,-0.7099,-15.37%,4.4471,3.72,191029,440978,11:04 ET
BHIL,Benson Hill Inc,4.23,-0.76,-15.23%,5.15,4.21,501679,609443,11:21 ET
REVB,Revelation Biosciences Inc,2.21,-0.37,-14.34%,2.84,2.09,2603292,4867786,11:21 ET
VIVK,Vivakor,2.17,-0.32,-12.85%,2.58,2.11,78750,308660,11:05 ET
GTLS,Chart Industries IN,163.05,-23.42,-12.56%,177.47,163.31,828312,564555,11:21 ET
NRSN,Neurosense Therapeutics Ltd,3.69,-0.53,-12.56%,4.59,3.7391,680894,11410536,11:20 ET
KLXE,Klx Energy Services Holdings Inc,5.67,-0.81,-12.50%,6.25,5.5,363177,1268728,11:21 ET
HUSA,Houston American Energy Corp,5.38,-0.74,-12.09%,5.78,5.35,1420017,22889207,11:21 ET
SRTS,Sensus Healthcare Inc,10.07,-1.38,-12.05%,11.5,9.95,430785,396567,11:14 ET
VLN,Valens Semiconductor Ltd,6.1,-0.83,-11.98%,6.2292,5.6,191814,31818,11:13 ET
VINE,Fresh Vine Wine Inc,3.6843,-0.4857,-11.65%,4,3.665,42056,105609,10:56 ET
NEXI,Neximmune Inc,3.77,-0.49,-11.50%,4.91,3.58,390216,288992,11:09 ET
EVLO,Evelo Biosciences Inc,3.75,-0.48,-11.35%,4.36,3.74,185530,339238,11:20 ET
CYT,Cyteir Therapeutics Inc,3.83,-0.49,-11.34%,4.33,3.85,29646,203136,11:18 ET
MFH,Mercurity Fintech Holding Inc ADR,2.3,-0.28,-10.85%,2.4999,2.3,234243,1176304,11:05 ET
ENSV,Enservco Corpporation,3.27,-0.39,-10.66%,3.55,3.1501,773835,13515106,11:19 ET
VLNS,The Valens Company Inc,2.21,-0.26,-10.53%,2.35,2.21,38193,73678,10:58 ET
PW,Power REIT,40.04,-4.46,-10.02%,43.2,39.97,20347,22991,11:07 ET
GNFT,Genfit S.A. ADR,3.88,-0.41,-9.56%,3.97,3.87,11629,22176,11:01 ET
APTX,Aptinyx Inc,2.4,-0.25,-9.43%,2.71,2.4,101861,122690,11:15 ET
AGRI,Agriforce Growing Systems Ltd,3.98,-0.41,-9.34%,4.29,3.79,2181887,25586928,11:20 ET
MARPS,Marine Petroleum U,10.47,-1.05,-9.11%,11.25,10.25,63427,1562277,11:19 ET
BNED,Barnes & Noble Education Inc C,3.72,-0.36,-8.82%,3.94,3.45,1996916,645535,11:20 ET
EOSE,Eos Energy Enterprises Inc,3.98,-0.38,-8.72%,4.3701,4.08,353518,4309364,11:19 ET
LOV,Spark Networks Plc ADR,2.785,-0.265,-8.69%,3.01,2.65,17788,48964,3/28/2022
GTEC,Greenland Technologies Holding Corp,5.38,-0.51,-8.66%,5.73,5.29,101592,76947,11:08 ET
WTI,W&T Offshore,4.03,-0.38,-8.62%,4.29,4.04,2666846,6853446,11:21 ET
MUR,Murphy Oil Corp,39.44,-3.71,-8.60%,40.46,38.06,2664233,2002057,11:21 ET
CGC,Canopy Growth Corp,7.95,-0.74,-8.52%,8.33,7.63,8224064,8177918,11:21 ET
SANW,S&W Seed Company,2.28,-0.21,-8.43%,2.54,2.28,183415,807962,11:06 ET
NR,Newpark Resources,3.63,-0.33,-8.33%,3.85,3.57,548576,933547,11:16 ET
LAIX,Laix Inc ADR,3.48,-0.31,-8.18%,3.75,3.3901,9235,34227,10:58 ET
OPAD,Offerpad Solutions Inc,5.17,-0.46,-8.17%,5.74,5.05,441243,838111,11:17 ET
IXHL,Incannex Healthcare Ltd ADR,10.23,-0.91,-8.17%,11.15,10.2,117059,N/A,11:11 ET
RIG,Transocean Inc,4.62,-0.41,-8.15%,4.8,4.52,15085133,38192582,11:21 ET
EEIQ,Elite Education Group International Ltd,2.39,-0.21,-8.08%,2.55,2.38,10287,64929,10:31 ET
DOMA,Doma Holdings Inc,2.39,-0.21,-8.08%,2.66,2.4,464394,2132171,11:20 ET
ACB,Aurora Cannabis Inc,4.1,-0.36,-8.07%,4.38,4,7776289,7987324,11:22 ET
UTME,Utime Ltd,2.75,-0.24,-8.03%,3.07,2.71,77405,922940,11:06 ET
LOOP,Loop Industries Inc,8.53,-0.74,-7.98%,9.4919,8.55,38762,116244,11:18 ET
INDO,Indonesia Energy Corp Ltd,20.25,-1.75,-7.95%,21.39,19.71,235267,10240058,11:21 ET
ADN,Advent Technologies Hldg Inc,2.2,-0.19,-7.95%,2.39,2.1187,896374,886771,11:21 ET
TGA,Transglobe Energy Cp,3.48,-0.3,-7.94%,3.6802,3.46,479449,912016,11:13 ET
PIK,Kidpik Corp,4.81,-0.41,-7.85%,5.25,4.51,1014290,15618564,11:20 ET
LEU,Centrus Energy Corp,31.7,-2.7,-7.85%,34.8329,31.5637,107031,345792,11:21 ET
SLNG,Stabilis Solutions Inc,4.96,-0.42,-7.81%,5.48,4.96,6608,29770,10:42 ET
CLBT,Cellebrite Di Ltd,6.14,-0.52,-7.81%,6.67,6.05,128406,265197,11:18 ET
AQB,Aquabounty Technologies Inc,1.95,-0.16,-7.58%,2.1891,1.96,853323,2071177,11:21 ET
SOPA,Society Pass Incorporated,3.19,-0.26,-7.54%,3.4999,3.12,472152,3110519,11:18 ET
RES,RPC Inc,10.62,-0.86,-7.49%,11.1099,10.56,528219,2038529,11:21 ET
ACAD,Acadia Pharmaceutica,24.89,-2,-7.44%,27.37,24.9,594495,1509489,11:21 ET
FLGC,Flora Growth Corp,2.13,-0.17,-7.39%,2.25,2.0358,651454,962895,11:11 ET
EGY,Vaalco Energy Inc,6.57,-0.52,-7.33%,6.94,6.43,862010,1688724,11:20 ET
INMB,Inmune Bio Inc,8.34,-0.66,-7.33%,9.24,8.26,43830,166999,11:21 ET
ANGN,Angion Biomedica Corp,2.15,-0.17,-7.33%,2.29,2.08,21754,70681,11:01 ET
JCS,Commun Systems Inc,8.24,-0.65,-7.31%,8.78,8,14230,23680,11:06 ET
CRON,Cronos Group Inc,3.94,-0.31,-7.29%,4.1,3.8306,2475396,2617050,11:21 ET
SBSW,Sibanye Gold Ltd ADR,16.01,-1.25,-7.24%,16.39,15.72,3086500,6524828,11:21 ET
ROCC,Ranger Oil Corp,34.49,-2.68,-7.21%,36.08,34.49,244143,567236,11:21 ET
PTEN,Patterson-Uti Energy,14.94,-1.16,-7.20%,15.73,14.87,1122210,5164373,11:21 ET
IMRX,Immuneering Corp Cl A,6.73,-0.52,-7.17%,7.35,6.69,44840,246468,11:21 ET
AMPY,Amplify Energy Corp,5.86,-0.45,-7.13%,6.195,5.71,676068,1101760,11:20 ET
GSM,Ferroglobe Plc Os,7.49,-0.57,-7.07%,8,7.47,473329,1889600,11:21 ET
HITI,High Tide Inc,4.74,-0.36,-7.06%,5.1,4.7,69394,139804,11:17 ET
SMMT,Summit Therapeu ADR,2.64,-0.2,-7.04%,2.9,2.62,62871,93092,11:12 ET
